agency,wordcount,shall,must,may not,required,prohibited,restrictions
"Rural Telephone Bank, Department Of Agriculture",5664,42,1,2,13,0,58
"Rural Utilities Service, Department Of Agriculture",681837,6862,2642,86,1295,20,10905
"Saint Lawrence Seaway Development Corporation, Department Of Transportation",27502,283,49,1,22,1,356
"Secret Service, Department Of The Treasury",4512,37,1,0,2,9,49
Securities And Exchange Commission,1416254,8506,2388,227,3816,117,15054
Selective Service System,43816,415,87,18,57,7,584
Small Business Administration,444106,871,2705,216,508,62,4362
Smithsonian Institution,2840,30,0,0,10,19,59
Social Security Administration,895492,586,1978,215,655,34,3468
Special Inspector General For Afghanistan Reconstruction,11061,75,12,2,19,4,112
Surface Transportation Board,307152,2770,689,49,284,19,3811
Susquehanna River Basin Commission,23038,288,7,1,33,0,329
Temporary Duty (Tdy) Travel Allowances,46219,9,388,19,115,1,532
Tennessee Valley Authority,95563,1039,115,27,145,44,1370
The International Organizations Employees Loyalty Board,2086,54,1,0,4,0,59
The Office Of Navajo And Hopi Indian Relocation,51640,640,67,28,74,19,828
"Transportation Security Administration, Department Of Homeland Security",126322,17,1004,49,283,14,1367
"U.S. Copyright Office, Library Of Congress",145866,1152,295,11,227,3,1688
"U.S. Customs And Border Protection, Department Of Homeland Security; Department Of The Treasury",1072611,5594,2737,169,1881,162,10543
"United States Fish And Wildlife Service, Department Of The Interior",2141158,1511,4276,595,754,306,7442
United States Institute Of Peace,3790,42,6,8,6,2,64
United States International Development Cooperation Agency,10308,78,6,6,18,11,119
United States International Trade Commission,127660,1482,193,43,122,34,1874
United States Nuclear Regulatory Commission,615,1,4,0,0,0,5
"United States Patent And Trademark Office, Department Of Commerce",322347,1246,1625,126,562,25,3584
United States Postal Service,215625,1428,624,58,256,39,2405
Utah Reclamation Mitigation And Conservation Commission,22269,20,25,0,20,0,65
"Wage And Hour Division, Department Of Labor",580389,1766,1199,217,697,70,3949
Water Resources Council,29900,306,16,5,55,10,392
"World Agricultural Outlook Board, Department Of Agriculture",765,4,0,0,0,0,4
